Trial,Average Fitness,Average Distance,Best Fitness,Best Distance,Best Route,Worst Fitness,Worst Distance,Worst Route
265001,2.923786235116937E-6,342954.031503786,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,2.8217226522326296E-6,354393.4409034746,G-A-B-M-I-E-L-H-J-C-K-D-F-G
266001,2.875990442276416E-6,348011.4145828633,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,2.844937934013002E-6,351501.51714889036,F-A-B-M-G-E-H-L-J-C-I-K-D-F
267001,3.1619345951803325E-6,316262.07623784395,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I
268001,3.1257627966786868E-6,319922.12151896197,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,3.1255810288470295E-6,319940.513706305,F-A-B-M-G-E-H-L-J-C-K-D-I-F
269001,2.182416997629164E-6,468799.22073514486,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,1.969100467878971E-6,507846.10349372175,B-I-K-H-M-E-A-L-J-C-G-D-F-B
270001,2.443201928933056E-6,411551.24112586764,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,2.1748798424020358E-6,459795.5162872606,I-A-B-M-E-H-C-J-G-L-K-D-F-I
271001,2.5142878430670675E-6,403335.10833681584,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,2.3515654938193165E-6,425248.62804303225,I-A-B-M-G-E-H-L-J-C-D-F-K-I
272001,2.1913498098592605E-6,462001.5428317823,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,1.8792368098908266E-6,532130.9133243801,F-A-B-G-E-H-L-J-I-C-K-D-M-F
273001,2.854160895555688E-6,350874.6338957952,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,2.8121917546977907E-6,355594.5281218791,I-A-B-M-G-E-H-L-J-C-K-F-D-I
274001,2.801298042041078E-6,358919.4739039442,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,2.5742945809809255E-6,388455.93172905396,K-A-G-M-E-B-H-L-J-C-I-D-F-K
275001,3.1257627966786868E-6,319922.12151896197,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,3.1255810288470295E-6,319940.513706305,F-A-B-M-G-E-H-L-J-C-K-D-I-F
276001,2.723631407763954E-6,368236.05645464687,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,2.637557922562937E-6,379138.59310748015,F-E-B-M-G-A-H-L-J-C-K-D-I-F
